City ID,City,Country,Lat,Lng,Humidity,Temp,Max Temp,Wind Speed,Cloudiness,Date
0,Carnarvon,AU,-24.87,113.63,72,59.0,59.0,11.41,0,1592508912
1,Kapaa,US,22.08,-159.32,94,74.89,77.0,14.99,90,1592508630
2,Khatanga,RU,71.97,102.5,61,52.07,52.07,11.88,55,1592509108
3,Tuktoyaktuk,CA,69.45,-133.04,93,44.6,44.6,10.29,90,1592509039
4,Puerto Ayora,EC,-0.74,-90.35,51,77.85,84.2,9.17,64,1592508639
5,Ushuaia,AR,-54.8,-68.3,64,35.6,35.6,7.18,27,1592508914
6,Rikitea,PF,-23.12,-134.97,85,75.81,75.81,17.34,100,1592508910
7,Teya,RU,60.38,92.63,71,54.03,54.03,3.42,90,1592509420
8,Hermanus,ZA,-34.42,19.23,72,53.01,53.01,1.99,0,1592508915
9,Esperance,AU,-33.87,121.9,93,46.4,46.4,11.41,40,1592508916
10,Port-Gentil,GA,-0.72,8.78,83,77.0,77.0,6.93,90,1592508778
11,Great Yarmouth,GB,52.61,1.73,98,63.01,64.99,3.0,100,1592509420
12,Gemeente Hoorn,NL,52.64,5.06,82,64.51,64.99,4.0,100,1592509420
13,Hailar,CN,49.2,119.7,90,57.25,57.25,4.47,87,1592509134
14,Alice Springs,AU,-23.7,133.88,49,49.5,52.0,5.82,0,1592509075
15,Tessalit,ML,20.2,1.01,8,99.34,99.34,10.36,0,1592509421
16,Bayir,TR,37.27,28.22,60,75.2,75.2,5.82,20,1592509421
17,Yellowknife,CA,62.46,-114.35,62,60.26,64.0,16.11,20,1592508921
18,Paamiut,GL,61.99,-49.67,84,38.79,38.79,11.99,88,1592509147
19,Bull Savanna,JM,17.89,-77.59,70,83.53,83.53,16.17,95,1592509421
20,New Norfolk,AU,-42.78,147.06,85,37.31,39.99,2.17,100,1592508911
21,Hobart,AU,-42.88,147.33,93,35.91,36.0,3.36,100,1592509296
22,Vaini,TO,-21.2,-175.2,83,69.8,69.8,9.17,20,1592508920
23,East London,ZA,-33.02,27.91,62,63.99,63.99,14.12,0,1592509104
24,Arraial do Cabo,BR,-22.97,-42.03,64,75.2,75.2,16.11,0,1592508833
25,Salalah,OM,17.02,54.09,89,84.2,84.2,4.7,20,1592509119
26,Horsham,GB,51.06,-0.33,77,60.3,62.6,11.41,40,1592509422
27,Jamestown,US,42.1,-79.24,54,80.6,80.6,9.17,75,1592508878
28,Albany,US,42.6,-73.97,42,86.25,88.0,5.44,39,1592508910
29,Sitka,US,57.05,-135.33,93,53.6,53.6,9.17,90,1592509038
30,Hilo,US,19.73,-155.09,65,76.87,80.6,8.43,20,1592508868
31,Saldanha,ZA,-33.01,17.94,45,62.6,62.6,3.36,0,1592509109
32,Butaritari,KI,3.07,172.79,60,83.17,83.17,2.26,98,1592509113
33,Upernavik,GL,72.79,-56.15,82,36.21,36.21,11.27,0,1592508918
34,Busselton,AU,-33.65,115.33,97,40.95,42.01,4.36,64,1592508622
35,Mahibadhoo,MV,3.78,72.97,74,84.13,84.13,4.36,32,1592509423
36,Bosaso,SO,11.28,49.18,39,93.49,93.49,16.87,56,1592509108
37,Ilulissat,GL,69.22,-51.1,62,33.8,33.8,6.93,90,1592508922
38,Saint Paul Harbor,US,57.79,-152.41,87,50.0,50.0,10.29,90,1592509033
39,Nome,US,64.5,-165.41,67,56.97,59.0,11.41,1,1592509116
40,Duku,NG,11.24,4.91,61,83.35,83.35,6.51,93,1592509424
41,Bambous Virieux,MU,-20.34,57.76,68,70.38,71.6,10.29,75,1592509119
42,Longyearbyen,SJ,78.22,15.64,65,44.6,44.6,8.05,75,1592508925
43,Port Alfred,ZA,-33.59,26.89,78,55.99,55.99,7.0,0,1592508918
44,Tobol,KZ,52.68,62.58,71,50.29,50.29,7.94,0,1592509425
45,Guiratinga,BR,-16.35,-53.76,50,81.43,81.43,4.88,12,1592509425
46,Ponta do Sol,PT,32.67,-17.1,73,68.29,71.6,8.05,20,1592508661
47,Yar-Sale,RU,66.83,70.83,75,38.07,38.07,10.54,55,1592508921
48,Bluff,NZ,-46.6,168.33,83,39.0,39.0,3.0,0,1592508914
49,Bacalar,MX,18.67,-88.38,88,80.6,80.6,5.21,90,1592509425
50,Isangel,VU,-19.55,169.27,100,66.2,66.2,12.37,20,1592509126
51,Cape Town,ZA,-33.93,18.42,58,60.98,64.0,10.29,0,1592508807
52,George Town,MY,5.41,100.34,79,83.25,84.2,3.36,20,1592508939
53,Punta Arenas,CL,-53.15,-70.92,80,41.0,41.0,12.75,90,1592508918
54,Havøysund,NO,71.0,24.66,75,43.72,44.6,12.75,75,1592509295
55,Sioux Lookout,CA,50.1,-91.92,88,69.8,69.8,6.93,90,1592509319
56,Bengkulu,ID,-3.8,102.27,87,76.14,76.14,4.92,98,1592509110
57,Mar del Plata,AR,-38.0,-57.56,82,57.85,60.01,10.29,75,1592508912
58,Hong Kong,HK,22.29,114.16,74,82.15,84.0,4.0,100,1592509103
59,Pyn U Lwin,MM,22.03,96.47,96,67.01,67.01,0.94,100,1592509427
60,Chui,UY,-33.7,-53.46,78,62.67,62.67,13.44,43,1592508917
61,Hamilton,US,39.18,-84.53,51,80.98,82.99,6.93,75,1592508978
62,Synya,RU,65.37,58.04,81,36.28,36.28,4.29,48,1592509427
63,Xining,CN,36.62,101.77,56,58.26,58.26,2.89,96,1592509427
64,Esso,RU,55.93,158.7,71,54.41,54.41,3.91,100,1592509427
65,Castro,BR,-24.79,-50.01,80,63.12,63.12,5.68,100,1592509161
66,Husavik,IS,66.04,-17.34,54,57.2,57.2,4.7,75,1592509134
67,Avarua,CK,-21.21,-159.78,69,73.4,73.4,10.29,47,1592509007
68,Bathsheba,BB,13.22,-59.52,70,87.8,87.8,19.46,40,1592509116
69,Laas,IT,46.62,10.7,81,51.8,51.8,9.17,40,1592509141
70,Lebu,CL,-37.62,-73.65,91,53.94,53.94,16.62,100,1592509121
71,Tasiilaq,GL,65.61,-37.64,75,42.8,42.8,47.2,100,1592509114
72,Fairbanks,US,64.84,-147.72,40,69.13,71.01,3.44,1,1592508748
73,São João da Barra,BR,-21.64,-41.05,61,77.0,77.0,13.87,44,1592508922
74,Vardø,NO,70.37,31.11,81,44.6,44.6,16.11,33,1592509135
75,Nouakchott,MR,18.09,-15.98,52,87.8,87.8,21.92,2,1592509243
76,Cayenne,GF,4.93,-52.33,83,82.4,82.4,9.24,75,1592509031
77,Jiwani,PK,25.05,61.74,82,84.99,84.99,2.68,59,1592509429
78,Boyuibe,BO,-20.42,-63.28,45,75.99,75.99,6.11,0,1592509429
79,Qaanaaq,GL,77.48,-69.36,84,35.71,35.71,1.39,0,1592508911
80,Tabou,CI,4.42,-7.35,77,78.58,78.58,6.29,96,1592509430
81,Narsaq,GL,60.92,-46.05,61,46.4,46.4,9.17,40,1592508922
82,Whitianga,NZ,-36.83,175.7,91,52.0,52.0,1.01,21,1592509430
83,Jardim,BR,-21.48,-56.14,50,83.84,83.84,5.28,80,1592509430
84,Scarborough,GB,54.28,-0.4,96,55.9,57.0,7.07,100,1592509430
85,Hurricane,US,37.18,-113.29,14,83.12,86.0,5.82,1,1592509430
86,Sakaiminato,JP,35.55,133.23,93,66.2,66.2,13.87,75,1592509430
87,Cockburn Town,TC,21.46,-71.14,62,87.8,87.8,13.87,40,1592509149
88,Port Elizabeth,ZA,-33.92,25.57,82,57.2,57.2,6.93,0,1592508910
89,Rehoboth,NA,-23.32,17.08,43,53.19,53.19,8.55,0,1592509431
90,Atuona,PF,-9.8,-139.03,76,80.1,80.1,11.18,20,1592508916
91,Uthal,PK,25.81,66.62,83,82.89,82.89,7.63,5,1592509321
92,Saskylakh,RU,71.92,114.08,60,64.53,64.53,6.73,3,1592509110
93,Stantsionno-Oyashinskiy,RU,55.47,83.82,98,53.49,53.49,7.14,91,1592509431
94,Dikson,RU,73.51,80.55,97,32.56,32.56,17.16,94,1592508910
95,Mataura,NZ,-46.19,168.86,83,39.0,39.0,3.0,1,1592508913
96,Cidreira,BR,-30.18,-50.21,80,70.75,70.75,7.63,89,1592508924
97,Ryōtsu-minato,JP,38.08,138.43,88,66.2,66.2,2.24,100,1592509432
98,Krasnoobsk,RU,54.92,82.99,93,59.0,59.0,6.71,40,1592509432
99,Airai,TL,-8.93,125.41,100,58.3,58.3,4.12,84,1592508923
100,Libreville,GA,0.39,9.45,83,78.8,78.8,9.17,40,1592509432
101,Chokurdakh,RU,70.63,147.92,38,77.02,77.02,5.14,71,1592509119
102,Destin,US,30.39,-86.5,62,85.32,87.01,8.05,20,1592509222
103,Worthing,GB,50.81,-0.37,81,60.22,62.01,1.01,0,1592509432
104,Ahipara,NZ,-35.17,173.17,82,50.0,50.0,6.89,19,1592509222
105,San Patricio,MX,19.22,-104.7,74,86.0,86.0,11.41,20,1592509104
106,Carmo do Cajuru,BR,-20.18,-44.77,62,67.23,67.23,2.37,0,1592509391
107,Avera,US,33.19,-82.53,51,81.36,84.2,6.93,90,1592509433
108,Souillac,MU,-20.52,57.52,68,71.6,71.6,10.29,75,1592509044
109,Sovetskiy,RU,61.36,63.58,65,42.44,42.44,3.67,45,1592508720
110,Sciacca,IT,37.51,13.09,47,71.76,73.99,3.44,34,1592509433
111,Bose,IT,45.46,8.01,92,61.74,63.0,3.04,92,1592509164
112,Vila Franca do Campo,PT,37.72,-25.43,82,64.4,64.4,12.75,75,1592509140
113,Torbay,CA,47.67,-52.73,60,67.55,69.01,11.41,90,1592508914
114,Zamora,EC,-4.07,-78.96,29,89.6,89.6,11.41,20,1592509433
115,Rockhampton,AU,-23.38,150.5,82,60.8,60.8,6.93,1,1592509434
116,The Valley,AI,18.22,-63.06,66,86.68,89.6,16.11,40,1592508935
117,Camaná,PE,-16.62,-72.71,78,63.88,63.88,4.88,100,1592509434
118,Oistins,BB,13.07,-59.53,70,87.8,87.8,19.46,40,1592509434
119,Saint Anthony,US,45.02,-93.22,57,81.95,84.0,14.99,1,1592509120
120,Ancud,CL,-41.87,-73.82,87,50.94,51.8,17.22,75,1592509315
121,Pangnirtung,CA,66.15,-65.71,80,39.2,39.2,18.34,75,1592509389
122,Mogadishu,SO,2.04,45.34,82,78.26,78.26,16.58,94,1592509081
123,Kruisfontein,ZA,-34.0,24.73,43,57.79,57.79,6.78,0,1592509124
124,Imbituba,BR,-28.24,-48.67,73,73.4,73.4,14.99,20,1592509284
125,Saint George,US,37.1,-113.58,12,84.06,87.01,9.17,1,1592508776
126,Palestine,PS,31.92,35.2,69,70.61,75.2,8.05,40,1592509435
127,Xiaoweizhai,CN,26.19,107.51,89,69.73,69.73,0.22,98,1592509435
128,Nelson Bay,AU,-32.72,152.15,100,47.66,50.0,4.7,75,1592509435
129,Muros,ES,42.78,-9.06,72,61.36,64.0,8.05,40,1592509435
130,Norman Wells,CA,65.28,-126.83,40,73.4,73.4,9.17,75,1592508913
131,Hirara,JP,24.8,125.28,84,83.73,83.73,22.91,100,1592509123
132,Binay,PH,13.5,122.6,84,80.31,80.31,4.83,91,1592509435
133,Kiama,AU,-34.68,150.87,79,46.96,50.0,6.89,9,1592509161
134,Nemuro,JP,43.32,145.57,94,53.49,53.49,6.71,57,1592509187
135,Hede,CN,33.77,120.25,89,62.96,62.96,5.82,38,1592509157
136,Ribeira Grande,PT,38.52,-28.7,77,66.2,66.2,9.17,75,1592508912
137,Rabo de Peixe,PT,37.8,-25.58,82,64.4,64.4,12.75,75,1592509168
138,Pevek,RU,69.7,170.31,71,41.09,41.09,8.88,17,1592508920
139,Grand Gaube,MU,-20.01,57.66,79,69.01,69.01,8.01,98,1592509109
140,Mayskiy,RU,47.69,40.1,46,73.4,73.4,13.42,20,1592509436
141,Goderich,CA,43.75,-81.72,67,70.54,75.0,8.46,0,1592509436
142,Eureka,US,40.8,-124.16,93,61.95,64.0,4.7,90,1592509437
143,Buin,CL,-33.73,-70.75,76,51.15,53.6,3.0,75,1592509416
144,Arlit,NE,18.74,7.39,9,95.4,95.4,2.3,0,1592509132
145,Leshukonskoye,RU,64.9,45.76,64,55.17,55.17,5.73,98,1592509437
146,Jalu,LY,29.03,21.55,23,83.48,83.48,10.89,0,1592509035
147,Faanui,PF,-16.48,-151.75,79,79.9,79.9,3.94,100,1592508917
148,Barra do Garças,BR,-15.89,-52.26,52,87.8,87.8,5.82,3,1592509437
